Taxon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Planktomarina,11.36799217419258,11.58353303213418,11.574011156948067,11.702867908895545,11.830637102623689,11.965382295623904,12.093211850745327,12.21395648622694,12.297762644014826,12.394906285939351,12.486714997190717,12.539422154365333,12.51239122444698,12.612320780326243,12.656530239557167,12.70523147616411,12.732022322051977,12.744070731345856,12.804714072648133,12.82615976622294,12.846580889890488,12.865000982703435,11.58353303213418
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11_clade;D_4__Clade_I;D_5__Clade_Ia,11.517674171992432,12.018193674878775,11.902870761420356,11.982447728378016,12.09253993941234,12.176195742700001,12.265892237514676,12.347433309269029,12.411833997946621,12.46743255965282,12.533504137499238,12.574130062633369,12.620061324579215,12.656131824923387,12.683852213648347,12.705431779654916,12.719216579936196,12.723404060667455,12.867780757254739,12.890549850232565,12.909165206435985,12.920051335670053,12.018193674878775
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae,11.460136315507011,11.617366558088658,11.569249086023172,11.697136901482645,11.810144416479128,11.93755247227634,12.036209163658247,12.133501952695338,12.215294988692316,12.284555676000856,12.364933642944404,12.415072646722718,12.460602454485278,12.494715506277025,12.53371674283427,12.578201559359421,12.599289718416427,12.60922508147241,12.644911277042736,12.677060165596556,12.702036376445442,12.720463904855515,11.617366558088658
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Amylibacter,10.338446735871996,10.488464718935205,10.486317508785204,10.574644715204458,10.696751524430846,10.794563035269219,10.921901565875125,11.023502494964642,11.129730525507792,11.211523030687408,11.278645129245103,11.345890471033924,11.397806377850005,11.427160583509428,11.46350410163651,11.487207576964598,11.51115389666936,11.521191209387261,11.553116860704856,11.5690222043221,11.593850859883812,11.608071995021026,10.488464718935205
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Ulvibacter,9.969088009620076,10.083681848313908,10.080838442676662,10.195037136514399,10.324300937591092,10.460900916916351,10.599954217506415,10.71809987037725,10.831746380186138,10.880139342084975,10.966109903471082,11.008959592551948,11.073939767093938,11.116261512815132,11.149829953228574,11.17418866616251,11.190748561439063,11.207296642017075,11.245816964390539,11.274452516530994,11.298469070803472,11.314559888456591,10.083681848313908
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Ascidiaceihabitans,9.547312483639047,9.76388059814971,9.73849497786395,9.886392257107492,10.041552403492023,10.194065428099934,10.348557915236652,10.471184882378658,10.617588658178859,10.703671343322297,10.807989063835306,10.87528867433785,10.916832397224534,10.960565787674572,10.996350009223631,11.004596721402825,11.029666368922044,11.04375348980435,11.115904603644728,11.143049483781295,11.166879546554684,11.18917397547838,9.76388059814971
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiomicrospirales;D_4__Thioglobaceae;D_5__SUP05_cluster,10.478188977889591,10.591571938753612,10.58938350638188,10.67447501721441,10.770861112175668,10.869025486978895,10.958896541403579,11.031043567594015,11.074513521713284,11.094542276593797,11.13451602888549,11.16098216626443,11.188441085994343,11.206087755878668,11.220565802967336,11.232497021229756,11.240775476101184,11.245085234731986,11.26551483551302,11.280602410638725,11.289744412952876,11.300128205710163,10.591571938753612
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae,9.403684292051873,9.533582619826515,9.527556974530281,9.666561963748133,9.814437735702617,9.940494278165223,10.07634782554057,10.18051304479938,10.253510420394482,10.31576275257284,10.418972305682843,10.485898684001407,10.56307794956723,10.625270779632405,10.659492154476942,10.72335548587523,10.735853049472523,10.751627915061572,10.782097185442595,10.80936424606141,10.793126253412856,10.803648902480399,9.533582619826515
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Loktanella,9.44604470533525,9.59994706414989,9.599201730917567,9.694185267410399,9.805157818462918,9.927936232938437,10.063904273942033,10.183200455338232,10.272288676272701,10.366057369338442,10.455992403293607,10.521345294054358,10.559685438317794,10.593203854356613,10.630335431268707,10.661813674121044,10.683362736605897,10.693534557836033,10.735657271744875,10.75879609867549,10.781079035271006,10.796407298087043,9.59994706414989
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__uncultured,9.464827539570322,9.583144537844786,9.58107599956325,9.688188155244967,9.811536723788219,9.939771264613375,10.080754690582811,10.193167627650581,10.291535186607224,10.333417605043806,10.413522864087675,10.456452702496211,10.525380377809771,10.565891980261542,10.598333289731654,10.594833111149445,10.662352246449105,10.677015845042886,10.714728831478542,10.732977794273367,10.702097743501133,10.712794229303016,9.583144537844786
